,True_Value,Predicted_Value,Squared_Error,Original_Text,bps_change
1094,-179.48541788327512,-5.045378043796665,30429.327499198833,"This is so crazy!

 https://t.co/p8B3dXrkAW",-179.48541788327512
1092,-166.5535956580741,-0.6348731966125631,27529.0224632435,"European justice is broken 
 https://t.co/PcfrZquKvT",-166.5535956580741
1095,-145.14041898366852,-0.6348731966125631,20881.852763214923,Increasingly significant consideration https://t.co/wQkfsjCYxZ,-145.14041898366852
1093,-136.5445313572121,-0.6348731966125631,18471.435181331017,"Thunder Dome vibes 
 https://t.co/gYVNl1ufPS",-136.5445313572121
1006,-124.64089397606695,-0.6348731966125631,15377.493189554474,"Your elected representatives have heard you and now the terrible bill is dead. The voice of the people has triumphed!

VOX POPULI
VOX DEI",-124.64089397606695
1005,-128.7387694757186,-5.045378043796665,15300.055083930663,"Unless @DOGE ends the careers of deceitful, pork-barrel politicians, the waste and corruption will never stop. 

Therefore, there is no choice but to do so.

I wish there was another way, but there is not.",-128.7387694757186
1126,-113.59739368998653,-0.6348731966125631,12760.531036215934,https://t.co/szHlftGMee,-113.59739368998653
1146,98.93749731148154,-0.6348731966125631,9914.656968601166,https://t.co/8thYN2waCI,98.93749731148154
1147,-93.18312010693136,-0.6348731966125631,8565.178006173332,😉 https://t.co/jR6ycgAYjc,-93.18312010693136
1010,-87.43317930597114,1.4069870304765213,7892.575154687686,Sounds reasonable,-87.43317930597114
992,60.62971636742087,-19.547482014706514,6428.383140407011,Some of the government software is over half a century old 🤯 https://t.co/E3dJG7a1SW,60.62971636742087
991,-80.03020007550036,-0.6348731966125631,6303.617930205443,Mind-blowing @USGAO report: https://t.co/YaA3o9ydU4,-80.03020007550036
1019,78.05427096332178,-0.6348731966125631,6191.981408622929,Kekius Maximus now at rank 263 after a marathon session of @pathofexile. Many deaths on the hardcore ladder. 🪦🩸🪦 https://t.co/PuBu75dXZW,78.05427096332178
1119,76.15777425603055,-0.6348731966125631,5897.110702785934,"SpaceX Dragon undocks 
 https://t.co/PI8xd80AIQ",76.15777425603055
1101,-73.26759791837806,1.4069870304765213,5576.2936372836975,"A senior exec at Tesla sent me some funny pics from days in the factory where I was trying to show the construction team day shift what equipment wasn’t working and needed to be removed.

So, I spray-painted stick figures on them 😂 https://t.co/ZWoE2yvVs2",-73.26759791837806
1007,-75.11312217194555,-0.6348731966125631,5547.009570431689,"You are the media now

 https://t.co/kuQRkxakxh",-75.11312217194555
1141,73.4959842400363,-0.6348731966125631,5495.384024292756,https://t.co/rQLo9ALEAL,73.4959842400363
1106,-78.8126542186862,-5.702482753928932,5345.097171606209,"If daylight savings time change is canceled, do you prefer",-78.8126542186862
1114,-72.92234189681946,-0.6348731966125631,5225.478131083392,https://t.co/hAZGF0zuQP,-72.92234189681946
1041,68.64546069805604,-3.2061961505406047,5162.660591888485,"Me: How many radical leftists does it take to screw in a light bulb?

Radical leftists: That’s not funny 😡 

Me: 🤣",68.64546069805604
